caduta_id;operatore;indice;timestamp_unix;offset_ms_da_inizio;value_N
2026-05-02T18:09:57.546976;pippo;0;1777738181.9823163;13;0.0
2026-05-02T18:09:57.546976;pippo;1;1777738181.9993157;30;0.0
2026-05-02T18:09:57.546976;pippo;2;1777738182.0152607;46;0.0
2026-05-02T18:09:57.546976;pippo;3;1777738182.0322597;63;0.0
2026-05-02T18:09:57.546976;pippo;4;1777738182.0812588;112;0.0
2026-05-02T18:09:57.546976;pippo;5;1777738182.1792884;210;39.0
2026-05-02T18:09:57.546976;pippo;6;1777738182.281349;312;78.0
2026-05-02T18:09:57.546976;pippo;7;1777738182.3799362;410;115.0
2026-05-02T18:09:57.546976;pippo;8;1777738182.4823604;513;152.0
2026-05-02T18:09:57.546976;pippo;9;1777738182.5843594;615;187.0
2026-05-02T18:09:57.546976;pippo;10;1777738182.6833653;714;222.0
2026-05-02T18:09:57.546976;pippo;11;1777738182.7854042;816;255.0
2026-05-02T18:09:57.546976;pippo;12;1777738182.8833616;914;288.0
2026-05-02T18:09:57.546976;pippo;13;1777738182.9858775;1016;319.0
2026-05-02T18:09:57.546976;pippo;14;1777738183.0839884;1114;350.0
2026-05-02T18:09:57.546976;pippo;15;1777738183.1871011;1217;379.0
2026-05-02T18:09:57.546976;pippo;16;1777738183.2850692;1315;408.0
2026-05-02T18:09:57.546976;pippo;17;1777738183.3873832;1418;435.0
2026-05-02T18:09:57.546976;pippo;18;1777738183.4853935;1516;462.0
2026-05-02T18:09:57.546976;pippo;19;1777738183.5883172;1619;487.0
2026-05-02T18:09:57.546976;pippo;20;1777738183.6866574;1717;512.0
2026-05-02T18:09:57.546976;pippo;21;1777738183.7886949;1819;535.0
2026-05-02T18:09:57.546976;pippo;22;1777738183.8876584;1918;558.0
2026-05-02T18:09:57.546976;pippo;23;1777738183.989692;2020;579.0
2026-05-02T18:09:57.546976;pippo;24;1777738184.0876567;2118;600.0
2026-05-02T18:09:57.546976;pippo;25;1777738184.190669;2221;619.0
2026-05-02T18:09:57.546976;pippo;26;1777738184.2890759;2319;638.0
2026-05-02T18:09:57.546976;pippo;27;1777738184.3914573;2422;655.0
2026-05-02T18:09:57.546976;pippo;28;1777738184.4895082;2520;672.0
2026-05-02T18:09:57.546976;pippo;29;1777738184.5914557;2622;687.0
2026-05-02T18:09:57.546976;pippo;30;1777738184.690509;2721;702.0
2026-05-02T18:09:57.546976;pippo;31;1777738184.7924943;2823;715.0
2026-05-02T18:09:57.546976;pippo;32;1777738184.8908005;2921;728.0
2026-05-02T18:09:57.546976;pippo;33;1777738184.9931703;3023;739.0
2026-05-02T18:09:57.546976;pippo;34;1777738185.095166;3125;750.0
2026-05-02T18:09:57.546976;pippo;35;1777738185.1942046;3224;759.0
2026-05-02T18:09:57.546976;pippo;36;1777738185.2961674;3326;768.0
